"reach_name","reach_length_m","drainage_ha","currentflow_cfs","lowflow_2040_cfs","lowflow_2080_cfs","system_id","difference"
"UM NF3",950.98,1886.87,4.65,4.1,3.67,"NONAG",10.4878048780488
"Woodward Cr",1434.69,697,1.79,1.56,1.4,"NONAG",10.2564102564103
"Coyote EF",2063.19,541.1,1.39,1.21,1.09,"NONAG",9.91735537190082
"UM NF1",4186.12,7664.88,18.12,16.17,14.64,"NONAG",9.46196660482375
"Johnson (UM)",1777.9,956.1,2.22,2.01,1.82,"NONAG",9.45273631840795
"Coyote Cr1",1579.78,2136.76,4.64,4.15,3.76,"NONAG",9.3975903614458
"Buck Cr3",6004.56,917.3,2.13,1.93,1.75,"NONAG",9.32642487046632
"UM NF2",4992.01,4701.32,11.5,10.22,9.27,"NONAG",9.29549902152643
"Buck Cr2",669.04,1468.17,3.32,3.02,2.76,"NONAG",8.60927152317882
"Canyon Cr",1544.42,451.2,1,0.93,0.85,"NONAG",8.60215053763442
